Id,Watermark,ConversationId,Activity,ActivityContent,CreateDate
10950,1,cb927417-7592-4e72-8367-98f9edc6b508,"{""from"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""membersAdded"":[{""id"":""b43b416ce78448a148890fcf35cc924b""}],""type"":""conversationUpdate"",""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""hr_bot"",""name"":""hr_bot""},""channelId"":""webchat"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""id"":""28f51ace-97db-406e-9426-0dc985bf2250"",""timestamp"":""2020-09-15T07:35:49.669Z""}",2,35:49.0
10951,2,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""28f51ace-97db-406e-9426-0dc985bf2250"",""label"":""start_event 'Greeting' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_event"",""Message"":"""",""Timestamp"":""2020-09-15T07:35:50.2397856Z""},""name"":""botflow_trace.start_event"",""id"":""1feb4375-02f1-40bd-92fc-c676b89fdb84"",""timestamp"":""2020-09-15T07:35:50.228Z""}",1,35:50.0
10952,5,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""28f51ace-97db-406e-9426-0dc985bf2250"",""label"":""end_event 'Greeting' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""end_event"",""Message"":"""",""Timestamp"":""2020-09-15T07:35:50.2465222Z""},""name"":""botflow_trace.end_event"",""id"":""b2a1a602-1fe6-4dd7-b39d-c2e9f14c3799"",""timestamp"":""2020-09-15T07:35:50.233Z""}",1,35:50.0
10953,3,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""28f51ace-97db-406e-9426-0dc985bf2250"",""label"":""start_flow 'Flow_b3fa554a-626e-4270-96eb-579750c45159' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_flow"",""Message"":"""",""Timestamp"":""2020-09-15T07:35:50.2529693Z""},""name"":""botflow_trace.start_flow"",""id"":""8dc8d8d2-9e9c-49ab-9ec8-fa6d9d8a2590"",""timestamp"":""2020-09-15T07:35:50.241Z""}",1,35:50.0
10954,5,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""message"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""attachmentLayout"":""list"",""text"":"""",""inputHint"":""acceptingInput"",""attachments"":[{""contentType"":""application/vnd.microsoft.card.hero"",""content"":{""title"":""我很忙的喔，快用一句話來描述您的問題"",""subtitle"":""（例：勞工舊制退休金如何計算?）"",""text"":""或點選以下常見問題分類："",""images"":[{""url"":""https://i.pinimg.com/originals/34/46/40/344640f515242e9b3d847dfeb26a29cf.gif""}],""buttons"":[{""type"":""imBack"",""title"":""薪資相關"",""value"":""薪資相關""},{""type"":""imBack"",""title"":""差勤相關"",""value"":""差勤相關""},{""type"":""imBack"",""title"":""考績相關"",""value"":""考績相關""},{""type"":""imBack"",""title"":""離職相關"",""value"":""離職相關""}]}}],""entities"":[],""replyToId"":""28f51ace-97db-406e-9426-0dc985bf2250"",""id"":""3f55309f-6126-4b3b-a7ce-997a90d5b9d8"",""timestamp"":""2020-09-15T07:35:50.259Z""}",5,35:50.0
10955,3,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""28f51ace-97db-406e-9426-0dc985bf2250"",""label"":""wait 'Node_1qgfeqr6n3' [Flow_b3fa554a-626e-4270-96eb-579750c45159] "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""wait"",""Message"":"""",""Timestamp"":""2020-09-15T07:35:50.2771877Z""},""name"":""botflow_trace.wait"",""id"":""e4447788-ae9e-4e4c-bf19-61a2cc810a98"",""timestamp"":""2020-09-15T07:35:50.264Z""}",1,35:50.0
10956,4,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""28f51ace-97db-406e-9426-0dc985bf2250"",""label"":""start_node 'Node_1qgfeqr6n3' [Flow_b3fa554a-626e-4270-96eb-579750c45159] "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_node"",""Message"":"""",""Timestamp"":""2020-09-15T07:35:50.26091Z""},""name"":""botflow_trace.start_node"",""id"":""1a65e6a9-6c94-406c-aac8-908f70a2dbd8"",""timestamp"":""2020-09-15T07:35:50.251Z""}",1,35:50.0
11300,6,cb927417-7592-4e72-8367-98f9edc6b508,"{""from"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""membersAdded"":[{""id"":""b43b416ce78448a148890fcf35cc924b""}],""type"":""conversationUpdate"",""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""hr_bot"",""name"":""hr_bot""},""channelId"":""webchat"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""id"":""cca0d903-3ef4-4b0b-a8f0-e8c7a785d7c0"",""timestamp"":""2020-09-15T09:32:04.361Z""}",2,32:04.0
11301,7,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""cca0d903-3ef4-4b0b-a8f0-e8c7a785d7c0"",""label"":""start_event 'Greeting' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_event"",""Message"":"""",""Timestamp"":""2020-09-15T09:32:04.6558737Z""},""name"":""botflow_trace.start_event"",""id"":""480862a7-4187-46db-8990-2cae865c4675"",""timestamp"":""2020-09-15T09:32:04.661Z""}",1,32:04.0
11302,10,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""cca0d903-3ef4-4b0b-a8f0-e8c7a785d7c0"",""label"":""end_event 'Greeting' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""end_event"",""Message"":"""",""Timestamp"":""2020-09-15T09:32:04.6640017Z""},""name"":""botflow_trace.end_event"",""id"":""a7d428e3-1ffc-4423-a70d-7b34da9d4efd"",""timestamp"":""2020-09-15T09:32:04.664Z""}",1,32:04.0
